#PicoHarp 300  Histogram Data			11/02/2022 12:23:55 PM
#channels per curve
65536
#display curve no.
0	1	2	
#memory block no.
8	9	10	
#ns/channel
0.1280	0.1280	0.1280	
#counts
13522	13256	12645	
13792	13858	13225	
13959	13527	13366	
14164	13675	13451	
14019	13974	13525	
14071	13916	13552	
14364	13896	13666	
14309	14276	13723	
14247	14228	13947	
14377	13871	13850	
14537	14253	13916	
14556	14384	14148	
14498	14330	14309	
14647	14739	14341	
14707	14437	14354	
14678	14544	14668	
14507	14723	14537	
14787	14810	14942	
14535	14593	14617	
14719	14984	15016	
14775	15102	14967	
14976	14905	14849	
15032	15154	15072	
15149	15286	15247	
15187	14984	15370	
15166	15415	15548	
14950	15583	15715	
14998	15203	15550	
15459	15545	15648	
15244	15617	15950	
15112	15751	15688	
15210	15763	16147	
15380	15789	15898	
15572	15918	16080	
15621	15962	16281	
15432	15952	16129	
15359	16032	16373	
15621	16010	16389	
15644	16264	16504	
15581	16198	16487	
15541	16152	16680	
15602	16143	16687	
15596	16234	16792	
15319	16177	16720	
15668	16304	16736	
15716	16340	16747	
15716	16292	16932	
15600	16437	16800	
15629	16226	16826	
15697	16599	17053	
15666	16412	17029	
15582	16447	17245	
15622	16277	16950	
15630	16489	17138	
15828	16718	16930	
15694	16512	17111	
15805	16511	17113	
15682	16800	17132	
15573	16436	16878	
15811	16198	17008	
15904	16456	16930	
15641	16511	17218	
15562	16458	16885	
15762	16264	16831	
15571	16470	16853	
15613	16174	16896	
15405	16050	16848	
15549	16151	16725	
15478	16224	16729	
15466	16347	16881	
15389	16066	16601	
15452	16039	16514	
15237	16398	16457	
15250	15995	16490	
15449	16045	16503	
15347	15904	16395	
15231	15864	16468	
15280	15863	16176	
15312	15783	16360	
15179	15903	16104	
15188	15730	16121	
15187	15709	15842	
14933	15499	15884	
15158	15504	15858	
14985	15411	15500	
14990	15244	15894	
14798	15233	15618	
14883	15201	15355	
14943	15262	15165	
14689	15117	15209	
14654	15001	15097	
14498	15074	15032	
14805	14705	14858	
14609	14601	14671	
14544	14790	14870	
14308	14523	14749	
14550	14562	14415	
14511	14502	14284	
14446	14149	14433	
14327	14548	14174	
14115	14314	14199	
14258	14287	14157	
14086	14058	14016	
14093	14173	14047	
14041	14148	13811	
13929	14011	13681	
13978	13989	13585	
13943	13628	13449	
13947	13645	13410	
13774	13716	13268	
13624	13435	13306	
13749	13518	13000	
13731	13767	13045	
13661	13355	12872	
13563	13308	13069	
13350	13350	12787	
13729	13139	12741	
13399	13050	12640	
13253	13074	12395	
13415	12979	12565	
13444	13011	12374	
13582	12797	12430	
13270	12817	12170	
13349	12662	12279	
13426	12882	12366	
13410	12875	12106	
13028	12917	12052	
13093	12774	12052	
13328	12965	12005	
13110	12733	12213	
13252	12749	12001	
13306	12707	11849	
13170	12597	11857	
13236	12606	11831	
13230	12439	11743	
13018	12347	11842	
13184	12533	11837	
13135	12523	11677	
13318	12772	11845	
13011	12634	11701	
13170	12371	11582	
13192	12444	11719	
12906	12469	11950	
13479	12513	11747	
13010	12480	11902	
13110	12508	11649	
13220	12648	11777	
13064	12580	11769	
13146	12590	11894	
13218	12721	11784	
13042	12687	11976	
13289	12783	11948	
13306	12565	12203	
13454	12874	12101	
13294	13074	12135	
13337	12796	12127	
13286	12901	12482	
13619	13041	12251	
13529	12864	12312	
13717	12702	12436	
13572	13063	12406	
13752	12938	12724	
13554	13348	12751	
13597	13007	12523	
13688	13159	12541	
13918	13316	12805	
13491	13183	13055	
13736	13168	12818	
12922	12688	12298	
338	342	338	
74	101	71	
19	23	33	
1	3	4	
